,tile_id,x,y,physical_x,physical_y,area,ratio,size,r1,r2,weight,density,mean_distance,moran-I,p-value
fcab8325f7dadcd222a6ebbc5a9d14e7,NULL,570,1165,570,1165,312,2.1666667461395264,137,26,12,0,0.03125,0,-1,1
03a6dc10976c83d9c15ab2fc32373283,NULL,581,1177,581,1177,640,1.600000023841858,210,20,32,0,0.03125,0,-1,1
6d422b5d5b5b9ff57d2101152ebf2399,NULL,359,1212,359,1212,322,1.6428571939468384,138,14,23,0,0.03125,0,-1,1
02f22f032bd689631d76f1af22c4e483,NULL,326,1215,326,1215,6,1.5,8,2,3,0,0.03125,0,-1,1
4348971f73e8050b6e96adfb6b7c11c2,NULL,126,1219,126,1219,8,2,10,2,4,0,0.03125,0,-1,1
3e428ae7bbeba4ebc17d207334854536,NULL,413,1262,413,1262,9,1,11,3,3,0,0.03125,0,-1,1
3b7ecba4cd081a2d89f68c962e5e1d9e,NULL,148,1287,148,1287,12,1.3333333730697632,15,4,3,0,0.03125,0,-1,1
2d6931bf7120d202b337e19775682081,NULL,578,1477,578,1477,18,2,16,3,6,0,0.03125,0,-1,1
e8ff33cfbeee85fbd0d1baa41e9d5e67,NULL,576,1512,576,1512,4,4,6,1,4,0,0.03125,0,-1,1
78054a5ade22342e343e9abdff003964,NULL,2036,1721,2036,1721,3,3,7,1,3,0,0.03125,0,-1,1
3c3b3cb732af6254c37115b61d8d849a,NULL,2017,1722,2017,1722,12,1.3333333730697632,12,3,4,0,0.03125,0,-1,1
da44783f31c0a5348d1d38edda354679,NULL,1316,1788,1316,1788,4,1,6,2,2,0,0.03125,0,-1,1
3a3f478dee0bd6c53b52fc18809d4702,NULL,1683,1800,1683,1800,8,2,7,2,4,0,0.03125,0,-1,1
6ef204de510efc22a1d3483216883ca9,NULL,1743,1801,1743,1801,25,1,18,5,5,0,0.03125,0,-1,1
09930ea00ce6d2aafd73acc17f5cc571,NULL,2497,1889,2497,1889,24,1.5,26,4,6,0,0.03125,0,-1,1
9fc26a1b6d033a9af300ed1936079052,NULL,1764,1937,1764,1937,4,1,6,2,2,0,0.03125,0,-1,1
a7e3c8c2cd50ed731636d3748148b37c,NULL,2244,2166,2244,2166,63,1.2857142686843872,23,9,7,0,0.03125,0,-1,1
90f483404363d92b577351eaa6908aac,NULL,2231,2283,2231,2283,8,2,7,2,4,0,0.03125,0,-1,1
5149deeecf9052b0161a35fffe2741e9,NULL,2248,2299,2248,2299,6,1.5,8,3,2,0,0.03125,0,-1,1
d953b3fe91ad2fce9eceff5761c80a20,NULL,1861,2551,1861,2551,32,2,30,8,4,0,0.03125,0,-1,1
60ec02ad832bb00e4cb51d9245d6c4ad,NULL,1813,2730,1813,2730,48,1.3333333730697632,25,8,6,0,0.03125,0,-1,1
70ad57daa008751058b85d870495a476,NULL,1908,2795,1908,2795,96,1.5,66,12,8,0,0.03125,0,-1,1
