,tile_id,x,y,physical_x,physical_y,area,ratio,size,r1,r2,weight,density,mean_distance,moran-I,p-value
fc3ce29e4cbee5e7185f3b528b4dd1bc,NULL,0,0,0,0,786240,1.9809523820877075,394638,630,1248,0,0.0625,0,-1,1
fc3ce29e4cbee5e7185f3b528b4dd1bc,NULL,0,0,0,0,9979475,1.090578556060791,5867046,3025,3299,0,0.0625,0,-1,1
024b3b4f6e5fddf1362a2b080fc851b2,NULL,553,286,553,286,130,1.2999999523162842,68,13,10,0,0.03125,0,-1,1
0e68b33fe9685daf85dde46da6f97a06,NULL,506,331,506,331,80,1.25,49,8,10,0,0.03125,0,-1,1
2c450c0680605f5199c1ddcb3b157207,NULL,548,339,548,339,56,1.1428571939468384,49,7,8,0,0.03125,0,-1,1
29ce7c2f640e8ecec7699a3df62c8221,NULL,507,347,507,347,84,1.7142857313156128,50,7,12,0,0.0625,4.5,-0.9999999999999998,1
a2f207c3638599e8a4f4dfe5efd48d5d,NULL,516,347,516,347,247,1.4615384340286255,91,13,19,0,0.0625,4.5,-0.9999999999999998,1
83fbad3994cb8290946150d45a83083e,NULL,467,366,467,366,49,1,35,7,7,0,0.03125,0,-1,1
7184009d138bbde6271c41b682e91b9e,NULL,890,399,890,399,60,1.6666666269302368,41,6,10,0,0.03125,0,-1,1
0f9b41c9f9303b5319a874c4924f36b0,NULL,788,414,788,414,75,3,62,5,15,0,0.03125,0,-1,1
64493c927ce6a1bf5080212063b1e353,NULL,788,432,788,432,36,1,22,6,6,0,0.03125,0,-1,1
810bd6601c0e3eef1a5b385f1c1e1fe9,NULL,396,493,396,493,10,2.5,15,2,5,0,0.03125,0,-1,1
796cced0ef11b71eb75b76d1d51277d8,NULL,369,535,369,535,20,5,23,2,10,0,0.03125,0,-1,1
7254071a35a217b6b0a4308e5ede51dc,NULL,400,535,400,535,78,2.1666667461395264,56,6,13,0,0.03125,0,-1,1
dd8ad6ae1953aea2363ce9d67fa3ab4e,NULL,365,549,365,549,280,1.4285714626312256,159,14,20,0,0.03125,0,-1,1
b458e6601f90447848627f2842d69573,NULL,592,555,592,555,135,1.6666666269302368,95,9,15,0,0.03125,0,-1,1
3e541a0ca8d1edeccc2209783c9d5855,NULL,431,577,431,577,40,1.600000023841858,26,5,8,0,0.03125,0,-1,1
1e12074d1fba1aa103981c3defdf6a99,NULL,1148,611,1148,611,12,1.3333333730697632,12,3,4,0,0.03125,0,-1,1
b7152d78400e10bda7c93215163a5c06,NULL,328,625,328,625,63,1.2857142686843872,27,7,9,0,0.03125,0,-1,1
c1adad77ce2169a1faa90b9ecf285c2c,NULL,340,633,340,633,15,1.6666666269302368,14,5,3,0,0.03125,0,-1,1
4faf74a1b14633623da2be78f8297a78,NULL,347,647,347,647,40,1.600000023841858,33,5,8,0,0.09375,4.714045207910317,-0.6770452831458426,1
a0f44cf36ee82e658c4bbd96053bffe5,NULL,381,647,381,647,255,1.1333333253860474,145,15,17,0,0.0625,6.5,-1,1
97325a6eaade8a8b20d6bfd49ed0aacf,NULL,340,648,340,648,12,1.3333333730697632,9,4,3,0,0.0625,3.5355339059327378,-1,1
b0bc98e5fd301d84f193acbc84d28778,NULL,354,648,354,648,20,1.25,15,4,5,0,0.0625,3.5355339059327378,-1,1
af794d2445055aa412567cc5212d452e,NULL,453,648,453,648,64,1,38,8,8,0,0.03125,0,-1,1
896694a9ef4522603c0725db08f37723,NULL,370,652,370,652,32,2,22,8,4,0,0.0625,4.6097722286464435,-0.9999999999999999,1
498650740d19a5362050984be6057fa7,NULL,376,659,376,659,16,1,14,4,4,0,0.125,7.676206457882865,-0.3540527839481825,0.8183512695498003
4886cb1d7a27aa5b55233148f6537606,NULL,382,665,382,665,56,1.1428571939468384,40,7,8,0,0.0625,4.242640687119285,-0.9999999999999999,1
04d90b5ce4b012a3794b4fd3f534f007,NULL,469,675,469,675,33,3.6666667461395264,28,3,11,0,0.03125,0,-1,1
bf7411bd513f822b7a562d328eddcd22,NULL,1446,687,1446,687,54,1.5,34,6,9,0,0.03125,0,-1,1
5174d0aab8c2833b223960d6b415e06c,NULL,1453,691,1453,691,25,1,25,5,5,0,0.03125,0,-1,1
81f23e4a697f6da72f856fcdc96fc1be,NULL,463,696,463,696,3,3,6,1,3,0,0.03125,0,-1,1
494c6d2238944f70529ba98a82db5c0a,NULL,363,716,363,716,20,1.25,19,4,5,0,0.03125,0,-1,1
318f2809bb466c38005aa4e3e87c1f3a,NULL,317,722,317,722,40,1.600000023841858,29,5,8,0,0.03125,0,-1,1
5e2d8645e5c9124510283c302ad9feb1,NULL,342,724,342,724,15,1.6666666269302368,15,5,3,0,0.03125,0,-1,1
685a66439496337cb8e1a4f2fae63c89,NULL,268,781,268,781,30,1.2000000476837158,18,5,6,0,0.03125,0,-1,1
92c0a894e3eba86dc4632556797b6f2c,NULL,296,895,296,895,399,1.105263113975525,208,21,19,0,0.03125,0,-1,1
989f8d52c5c4508222d94e34dc0cfb82,NULL,215,902,215,902,6,1.5,9,2,3,0,0.03125,0,-1,1
06c150651433cfc3ed2f6b8e715dfe50,NULL,289,932,289,932,224,1.1428571939468384,91,16,14,0,0.03125,0,-1,1
ce50cecf903f6121befc46d70a4315e4,NULL,228,968,228,968,2115,1.0444444417953491,1153,47,45,0,0.0625,4.031128874149275,-0.9999999999999999,1
0c5cc2bd7fd1eb836a08c08e5a8ff1b4,NULL,220,969,220,969,6,1.5,9,2,3,0,0.09375,5.66884321943257,-0.30118458949182975,1
4b024fa5b8d6bb9e45cb8258b754fa9e,NULL,212,973,212,973,50,2,29,5,10,0,0.0625,4.47213595499958,-1,1
1033f4d7b8a24c9278c981c5aeda88f4,NULL,403,1060,403,1060,2144,2.09375,664,32,67,0,0.03125,0,-1,1
114fcedcc34283971ab58636379e45dc,NULL,405,1074,405,1074,50,2,24,5,10,0,0.03125,0,-1,1
2d7c443e9060c300d9f8444f2cbc9148,NULL,84,1086,84,1086,10,2.5,12,2,5,0,0.03125,0,-1,1
0c1e5d363d0b3ae22ba5ad311b2dd00e,NULL,405,1086,405,1086,170,1.7000000476837158,120,10,17,0,0.03125,0,-1,1
4a983aed70df3a8ec5882a2372cbc559,NULL,214,1113,214,1113,8,2,10,2,4,0,0.03125,0,-1,1
