x,y,class
843,692,subject
1349,692,subject
2233,692,subject
2,693,subject
229,693,subject
2250,693,subject
1404,694,subject
75,695,subject
865,695,subject
1177,695,subject
1526,695,subject
2068,695,subject
2090,695,subject
673,696,subject
2369,696,subject
244,697,subject
260,697,subject
2135,697,subject
2418,697,subject
900,698,subject
1039,698,subject
1840,698,subject
1859,698,subject
1970,698,subject
2324,698,subject
2443,698,subject
1212,699,subject
1512,699,subject
1741,699,subject
2164,699,subject
2491,699,subject
206,700,subject
1107,700,subject
1273,700,subject
2010,700,subject
2260,700,subject
942,701,subject
1237,701,subject
2043,702,subject
978,703,subject
1933,703,subject
2213,703,subject
178,704,subject
1715,704,subject
2118,704,subject
28,705,subject
307,705,subject
364,705,subject
433,705,subject
1302,705,subject
1559,705,subject
1952,706,subject
965,707,subject
914,708,subject
1032,708,subject
1360,708,subject
1639,708,subject
721,709,subject
883,709,subject
167,710,subject
1538,710,subject
1239,711,subject
2239,711,subject
2360,711,subject
2474,711,subject
348,712,subject
861,712,subject
2158,712,subject
746,713,subject
290,714,subject
332,714,subject
1168,714,subject
2446,714,subject
698,715,subject
1075,715,subject
2062,715,subject
423,716,subject
1202,716,subject
242,717,subject
316,717,subject
604,717,subject
2008,717,subject
2087,717,subject
2111,717,subject
2141,717,subject
935,718,subject
1828,718,subject
2024,718,subject
2038,718,subject
1785,719,subject
1497,720,subject
1629,720,subject
1801,720,subject
2203,720,subject
501,721,subject
207,722,subject
455,722,subject
1335,722,subject
1916,722,subject
539,723,subject
686,723,subject
844,723,subject
1965,723,subject
2286,723,subject
1186,724,subject
1274,724,subject
1291,724,subject
2366,724,subject
186,725,subject
271,726,subject
255,727,subject
569,727,subject
1205,727,subject
1567,727,subject
1940,727,subject
1356,728,subject
1408,728,subject
1699,728,subject
1065,729,subject
2307,729,subject
2415,729,subject
899,730,subject
2387,730,subject
978,731,subject
1750,731,subject
2435,731,subject
1016,732,subject
2058,732,subject
2448,732,subject
305,733,subject
662,733,subject
889,733,subject
1144,733,subject
1407,733,subject
1466,734,subject
1638,734,subject
964,735,subject
1087,735,subject
1523,735,subject
2263,735,subject
2322,735,subject
758,736,subject
1047,736,subject
1104,736,subject
2360,736,subject
368,737,subject
500,738,subject
290,739,subject
2096,739,subject
588,740,subject
703,740,subject
829,740,subject
2018,740,subject
856,741,subject
918,741,subject
939,741,subject
2483,741,subject
683,742,subject
1261,742,subject
237,743,subject
742,743,subject
1335,744,subject
1554,744,subject
69,745,subject
524,745,subject
896,745,subject
1065,745,subject
1166,745,subject
1668,745,subject
2186,745,subject
876,746,subject
1223,746,subject
1616,746,subject
1013,747,subject
2432,747,subject
1385,748,subject
2045,748,subject
2305,748,subject
649,749,subject
1721,749,subject
1323,750,subject
1693,750,subject
2375,750,subject
2415,750,subject
1186,751,subject
67,752,subject
202,752,subject
221,752,subject
1640,752,subject
143,753,subject
1136,753,subject
2173,753,subject
1312,754,subject
740,755,subject
1254,755,subject
1862,755,subject
1970,755,subject
1447,756,subject
2265,756,subject
569,757,subject
834,757,subject
909,757,subject
940,757,subject
1412,757,subject
2003,757,subject
2322,757,subject
101,758,subject
618,758,subject
1557,758,subject
1831,758,subject
296,759,subject
1585,759,subject
1757,759,subject
2132,759,subject
721,760,subject
815,760,subject
1367,760,subject
444,761,subject
2063,761,subject
782,762,subject
1473,762,subject
205,763,subject
470,763,subject
859,763,subject
1959,763,subject
67,764,subject
540,764,subject
1506,764,subject
2114,764,subject
1276,765,subject
1798,765,subject
237,766,subject
507,766,subject
700,766,subject
982,766,subject
434,767,subject
2344,767,subject
1317,768,subject
322,769,subject
1600,769,subject
2078,769,subject
349,770,subject
2402,770,subject
279,771,subject
1081,771,subject
207,772,subject
886,772,subject
1134,772,subject
1180,772,subject
1615,772,subject
1703,773,subject
2026,773,subject
401,774,subject
1160,774,subject
1659,774,subject
58,775,subject
131,775,subject
1053,775,subject
1912,775,subject
492,776,subject
1037,776,subject
2223,776,subject
401,777,subject
520,777,subject
614,777,subject
827,777,subject
904,777,subject
2302,777,subject
745,778,subject
817,778,subject
952,778,subject
652,779,subject
1099,779,subject
1309,779,subject
1347,780,subject
2259,780,subject
2427,781,subject
875,782,subject
1752,782,subject
2206,782,subject
928,783,subject
1121,783,subject
1221,783,subject
1361,783,subject
1376,783,subject
1566,783,subject
1728,783,subject
1458,785,subject
1734,785,subject
2284,785,subject
792,786,subject
1039,786,subject
1541,787,subject
2177,787,subject
381,788,subject
1005,788,subject
1195,788,subject
1270,788,subject
1883,788,subject
522,789,subject
942,789,subject
283,790,subject
977,791,subject
1850,791,subject
111,792,subject
1324,792,subject
1212,793,subject
2103,793,subject
2340,793,subject
1064,794,subject
2300,794,subject
897,795,subject
1417,795,subject
1296,796,subject
2251,796,subject
714,797,subject
733,797,subject
867,797,subject
1594,797,subject
1820,797,subject
305,798,subject
360,798,subject
1105,798,subject
607,799,subject
1160,799,subject
1249,799,subject
1902,799,subject
2064,799,subject
964,800,subject
1349,800,subject
1983,801,subject
2448,801,subject
833,802,subject
1727,802,subject
1741,802,subject
1526,803,subject
533,804,subject
556,804,subject
1034,804,subject
1482,804,subject
1667,804,subject
2208,804,subject
1375,805,subject
2328,805,subject
86,806,subject
918,806,subject
772,807,subject
2237,807,subject
332,808,subject
1441,808,subject
1459,808,subject
1570,808,subject
615,810,subject
1837,810,subject
2283,810,subject
1317,811,subject
1351,811,subject
384,812,subject
855,812,subject
1069,812,subject
258,813,subject
1010,813,subject
1407,813,subject
1782,813,subject
1916,813,subject
2045,813,subject
103,814,subject
2182,814,subject
1100,815,subject
1810,815,subject
2227,815,subject
2190,816,subject
520,817,subject
567,817,subject
1603,817,subject
722,818,subject
982,818,subject
2206,818,subject
1648,819,subject
594,820,subject
1380,820,subject
2101,820,subject
1333,821,subject
1994,821,subject
1285,822,subject
2056,822,subject
2374,822,subject
2430,822,subject
2117,823,subject
397,824,subject
957,824,subject
2282,824,subject
1546,825,subject
2462,825,subject
547,826,subject
873,826,subject
994,826,subject
1048,826,subject
1959,826,subject
2167,826,subject
943,827,subject
1935,827,subject
1433,828,subject
842,829,subject
1398,829,subject
376,830,subject
921,830,subject
1444,830,subject
1707,830,subject
2245,830,subject
56,831,subject
439,831,subject
904,831,subject
1503,831,subject
1149,834,subject
1948,834,subject
195,835,subject
861,835,subject
1574,835,subject
2396,835,subject
235,836,subject
1301,836,subject
2362,836,subject
80,837,subject
678,837,subject
1034,837,subject
1319,837,subject
1804,837,subject
1249,838,subject
481,839,subject
1526,839,subject
1841,839,subject
2299,839,subject
621,840,subject
1266,840,subject
1407,840,subject
1346,841,subject
2214,841,subject
1357,842,subject
1661,842,subject
953,843,subject
1727,844,subject
1898,844,subject
2369,844,subject
404,845,subject
586,845,subject
864,846,subject
2350,846,subject
707,847,subject
1085,847,subject
450,848,subject
535,848,subject
1777,848,subject
466,849,subject
1136,849,subject
779,850,subject
974,850,subject
1514,850,subject
2067,850,subject
2106,850,subject
2460,850,subject
1050,851,subject
1439,851,subject
2005,851,subject
2434,852,subject
928,853,subject
1040,853,subject
1384,853,subject
1473,853,subject
235,854,subject
644,854,subject
2026,854,subject
1221,855,subject
1496,855,subject
2053,855,subject
342,856,subject
1295,856,subject
2091,856,subject
2123,856,subject
2321,856,subject
1455,857,subject
1587,857,subject
1989,857,subject
585,858,subject
1020,859,subject
1745,859,subject
667,860,subject
1320,861,subject
1334,861,subject
1351,861,subject
1795,861,subject
2351,861,subject
2388,861,subject
291,862,subject
510,862,subject
2153,862,subject
61,863,subject
722,863,subject
1098,863,subject
1940,863,subject
1917,864,subject
2009,864,subject
951,865,subject
2061,865,subject
213,866,subject
1073,866,subject
1426,867,subject
2045,867,subject
620,868,subject
1202,868,subject
1366,868,subject
1810,868,subject
2413,868,subject
230,869,subject
1040,869,subject
831,870,subject
1054,870,subject
1135,870,subject
1317,870,subject
2371,870,subject
404,871,subject
426,871,subject
975,871,subject
584,872,subject
902,872,subject
2018,872,subject
2281,872,subject
533,873,subject
364,874,subject
1825,874,subject
236,875,subject
1446,875,subject
2084,875,subject
2261,875,subject
1008,876,subject
1291,876,subject
1509,876,subject
1720,876,subject
1958,876,subject
564,877,subject
1475,877,subject
920,878,subject
1027,878,subject
2169,878,subject
494,879,subject
1500,879,subject
1390,880,subject
2452,881,subject
776,882,subject
843,882,subject
1098,882,subject
2192,882,subject
1923,883,subject
2337,883,subject
793,884,subject
1122,884,subject
1255,884,subject
1935,885,subject
2318,885,subject
1188,886,subject
1765,888,subject
2037,888,subject
2427,888,subject
343,889,subject
1452,889,subject
1689,889,subject
2281,889,subject
294,890,subject
1326,890,subject
1425,890,subject
276,891,subject
691,891,subject
1272,891,subject
1678,891,subject
1703,891,subject
2141,891,subject
171,892,subject
440,892,subject
730,892,subject
1074,892,subject
1836,892,subject
1971,892,subject
2012,892,subject
2246,892,subject
705,893,subject
940,893,subject
1004,893,subject
1472,893,subject
1991,893,subject
2359,893,subject
1051,894,subject
1164,894,subject
1665,894,subject
2227,896,subject
1545,897,subject
1808,897,subject
2469,897,subject
1305,899,subject
1021,900,subject
851,901,subject
1914,901,subject
2405,901,subject
218,902,subject
329,902,subject
1138,902,subject
1202,902,subject
2323,902,subject
400,903,subject
2183,903,subject
1672,904,subject
1959,904,subject
2063,904,subject
2126,904,subject
1123,905,subject
231,906,subject
369,906,subject
515,906,subject
897,906,subject
1178,906,subject
1847,906,subject
2168,908,subject
593,909,subject
1287,909,subject
1980,909,subject
2444,909,subject
722,910,subject
954,910,subject
1933,910,subject
2024,910,subject
2144,910,subject
250,911,subject
2395,911,subject
2427,913,subject
220,914,subject
2010,914,subject
338,915,subject
1026,915,subject
997,916,subject
1474,916,subject
2297,916,subject
1042,917,subject
824,918,subject
1669,918,subject
1691,918,subject
2272,918,subject
940,919,subject
1115,919,subject
1372,919,subject
1787,919,subject
910,920,subject
795,921,subject
1239,921,subject
1662,921,subject
2122,921,subject
2205,921,subject
280,922,subject
1404,922,subject
1750,922,subject
355,923,subject
1279,923,subject
1832,923,subject
338,924,subject
1953,925,subject
2239,925,subject
271,926,subject
961,926,subject
1046,926,subject
1924,926,subject
1974,926,subject
2001,926,subject
1343,927,subject
2105,927,subject
524,928,subject
1093,928,subject
241,929,subject
384,929,subject
766,929,subject
853,929,subject
1260,929,subject
1303,929,subject
76,930,subject
1137,930,subject
2339,930,subject
134,931,subject
2211,931,subject
292,932,subject
409,932,subject
925,932,subject
1779,932,subject
603,933,subject
638,933,subject
2424,933,subject
1333,934,subject
1645,934,subject
2257,934,subject
879,935,subject
449,936,subject
904,936,subject
1578,936,subject
1144,937,subject
783,938,subject
1012,938,subject
1546,938,subject
716,939,subject
1079,939,subject
330,940,subject
582,940,subject
836,940,subject
1954,940,subject
74,941,subject
352,941,subject
1292,941,subject
2313,941,subject
1122,942,subject
1156,942,subject
1224,942,subject
965,943,subject
1902,943,subject
2002,943,subject
263,944,subject
1729,944,subject
316,945,subject
624,945,subject
1621,945,subject
2271,945,subject
1351,946,subject
2024,946,subject
250,947,subject
1682,947,subject
367,948,subject
282,949,subject
420,950,subject
881,950,subject
1160,950,subject
1508,950,subject
1750,950,subject
1322,951,subject
121,952,subject
256,952,subject
1103,952,subject
2170,952,subject
2194,953,subject
2266,953,subject
1017,954,subject
1078,954,subject
1219,954,subject
1824,954,subject
1867,954,subject
2412,954,subject
590,955,subject
84,956,subject
1036,956,subject
958,957,subject
1138,957,subject
1259,957,subject
1367,957,subject
2379,957,subject
1173,958,subject
1303,958,subject
2403,960,subject
2016,961,subject
2136,961,subject
2285,961,subject
479,962,subject
1246,962,subject
1524,962,subject
1721,962,subject
2331,962,subject
916,963,subject
1118,963,subject
1633,964,subject
1580,965,subject
2222,965,subject
499,966,subject
1610,966,subject
1847,966,subject
891,967,subject
860,968,subject
1461,968,subject
340,969,subject
506,969,subject
1018,969,subject
1483,970,subject
1654,970,subject
2006,970,subject
2247,970,subject
1204,971,subject
1229,971,subject
1950,971,subject
648,972,subject
1050,972,subject
1183,972,subject
1376,972,subject
2031,972,subject
2359,972,subject
947,973,subject
391,974,subject
1314,974,subject
601,975,subject
817,975,subject
1739,976,subject
1102,977,subject
1442,977,subject
2136,977,subject
2206,977,subject
2407,977,subject
963,978,subject
662,979,subject
1165,979,subject
1244,979,subject
359,980,subject
707,980,subject
925,980,subject
1290,980,subject
1607,980,subject
684,981,subject
561,982,subject
996,982,subject
1063,982,subject
2016,982,subject
424,983,subject
730,983,subject
2314,983,subject
2385,983,subject
1512,984,subject
2167,984,subject
2185,984,subject
2469,984,subject
2041,985,subject
2234,985,subject
318,986,subject
1543,988,subject
1721,988,subject
1812,988,subject
618,989,subject
1695,989,subject
1951,989,subject
2339,989,subject
2111,990,subject
263,991,subject
1131,991,subject
1420,991,subject
529,992,subject
581,992,subject
643,992,subject
1369,992,subject
1560,992,subject
1575,992,subject
2149,992,subject
1391,993,subject
901,994,subject
1440,994,subject
1999,995,subject
559,996,subject
749,996,subject
951,996,subject
1243,996,subject
1288,996,subject
380,997,subject
693,997,subject
1052,997,subject
1107,998,subject
270,999,subject
1304,999,subject
439,1000,subject
2227,1000,subject
2451,1000,subject
65,1001,subject
1207,1001,subject
1266,1001,subject
1279,1001,subject
2176,1001,subject
2195,1001,subject
1853,1002,subject
668,1003,subject
1475,1003,subject
1738,1003,subject
1917,1004,subject
405,1005,subject
508,1005,subject
1667,1005,subject
18,1006,subject
341,1006,subject
1063,1007,subject
1345,1007,subject
1512,1007,subject
1521,1007,subject
796,1008,subject
1203,1008,subject
1777,1008,subject
1016,1009,subject
1135,1009,subject
1415,1009,subject
2130,1009,subject
589,1010,subject
735,1010,subject
1691,1010,subject
915,1011,subject
2372,1011,subject
381,1012,subject
2169,1012,subject
2336,1012,subject
762,1013,subject
1460,1013,subject
1796,1013,subject
2086,1013,subject
1494,1014,subject
2015,1014,subject
463,1015,subject
530,1015,subject
871,1015,subject
970,1015,subject
2055,1015,subject
2080,1015,subject
618,1016,subject
725,1016,subject
2039,1016,subject
2352,1016,subject
1240,1017,subject
1717,1018,subject
1754,1018,subject
1995,1018,subject
2146,1018,subject
548,1019,subject
1123,1019,subject
1322,1019,subject
1949,1019,subject
2185,1019,subject
1173,1020,subject
1804,1020,subject
599,1021,subject
1189,1021,subject
2223,1021,subject
364,1022,subject
929,1022,subject
1277,1022,subject
1423,1022,subject
1883,1022,subject
2101,1022,subject
2296,1022,subject
411,1024,subject
483,1024,subject
650,1024,subject
445,1025,subject
1000,1025,subject
699,1026,subject
1609,1026,subject
1020,1027,subject
1161,1027,subject
1383,1027,subject
1479,1027,subject
1866,1027,subject
1143,1028,subject
1343,1029,subject
1440,1029,subject
1932,1029,subject
2208,1029,subject
2380,1029,subject
2405,1029,subject
2481,1029,subject
278,1030,subject
722,1030,subject
2124,1030,subject
1108,1031,subject
1307,1031,subject
1747,1031,subject
2161,1031,subject
163,1032,subject
949,1032,subject
1214,1032,subject
984,1033,subject
1091,1033,subject
1815,1033,subject
752,1034,subject
815,1034,subject
1596,1034,subject
1899,1034,subject
2069,1034,subject
394,1035,subject
499,1035,subject
777,1036,subject
528,1038,subject
1965,1038,subject
438,1039,subject
799,1039,subject
1050,1040,subject
1151,1040,subject
1300,1040,subject
2301,1041,subject
1681,1042,subject
1771,1042,subject
1837,1042,subject
421,1043,subject
1022,1043,subject
1403,1043,subject
716,1044,subject
1272,1044,subject
1941,1044,subject
2119,1044,subject
2325,1044,subject
1797,1045,subject
2026,1045,subject
2223,1045,subject
2369,1045,subject
1575,1046,subject
1931,1046,subject
791,1047,subject
2103,1047,subject
856,1048,subject
912,1048,subject
1495,1048,subject
1538,1048,subject
301,1049,subject
769,1049,subject
1153,1049,subject
367,1050,subject
539,1050,subject
566,1050,subject
666,1050,subject
1378,1050,subject
1730,1050,subject
2003,1050,subject
248,1051,subject
390,1051,subject
477,1051,subject
585,1051,subject
1468,1051,subject
2131,1051,subject
517,1052,subject
695,1053,subject
2487,1053,subject
553,1054,subject
1246,1054,subject
1434,1054,subject
1079,1055,subject
1086,1055,subject
401,1056,subject
442,1056,subject
460,1056,subject
935,1056,subject
1330,1056,subject
1821,1056,subject
2071,1057,subject
2290,1057,subject
1222,1059,subject
2054,1059,subject
2095,1059,subject
611,1060,subject
354,1061,subject
571,1061,subject
1629,1061,subject
1697,1061,subject
1789,1061,subject
410,1063,subject
843,1063,subject
2302,1063,subject
306,1064,subject
1590,1064,subject
1603,1064,subject
1291,1065,subject
1901,1065,subject
530,1066,subject
1873,1066,subject
972,1067,subject
1272,1067,subject
1459,1067,subject
1524,1067,subject
1752,1067,subject
2032,1067,subject
596,1068,subject
1948,1068,subject
1100,1069,subject
985,1070,subject
1313,1070,subject
1401,1070,subject
322,1071,subject
550,1071,subject
711,1071,subject
1984,1071,subject
283,1072,subject
688,1072,subject
1423,1073,subject
1552,1073,subject
1848,1073,subject
2427,1073,subject
1061,1074,subject
1199,1074,subject
1491,1074,subject
2189,1074,subject
743,1076,subject
1575,1077,subject
2398,1077,subject
773,1078,subject
459,1079,subject
1640,1079,subject
1820,1079,subject
828,1080,subject
1694,1080,subject
1732,1080,subject
2380,1080,subject
1016,1081,subject
387,1082,subject
613,1082,subject
706,1082,subject
1134,1082,subject
667,1083,subject
581,1084,subject
802,1084,subject
1512,1084,subject
1647,1084,subject
1754,1084,subject
1893,1084,subject
242,1085,subject
851,1085,subject
1096,1085,subject
1531,1085,subject
2017,1085,subject
1286,1086,subject
423,1087,subject
948,1087,subject
1328,1089,subject
2042,1089,subject
2165,1089,subject
691,1090,subject
756,1090,subject
1121,1090,subject
972,1091,subject
1150,1092,subject
1169,1092,subject
1389,1092,subject
1796,1092,subject
235,1093,subject
327,1093,subject
631,1093,subject
993,1093,subject
1080,1093,subject
1837,1093,subject
1977,1093,subject
2421,1093,subject
879,1094,subject
407,1095,subject
261,1096,subject
794,1096,subject
1432,1096,subject
1495,1097,subject
1656,1097,subject
1711,1097,subject
740,1098,subject
1626,1098,subject
2336,1099,subject
1757,1100,subject
767,1101,subject
1097,1102,subject
1114,1102,subject
1885,1102,subject
39,1103,subject
708,1103,subject
809,1103,subject
1859,1104,subject
1999,1104,subject
2094,1104,subject
1411,1105,subject
378,1106,subject
521,1106,subject
540,1106,subject
1066,1106,subject
1253,1106,subject
415,1107,subject
853,1107,subject
2182,1107,subject
1535,1108,subject
726,1109,subject
1360,1109,subject
408,1110,subject
470,1110,subject
753,1110,subject
935,1110,subject
979,1110,subject
2407,1110,subject
966,1111,subject
2034,1111,subject
1085,1112,subject
26,1113,subject
500,1113,subject
693,1113,subject
997,1113,subject
1469,1113,subject
2160,1113,subject
321,1114,subject
657,1114,subject
681,1114,subject
1873,1114,subject
2399,1114,subject
111,1115,subject
392,1115,subject
575,1115,subject
1166,1115,subject
1432,1115,subject
1915,1115,subject
1382,1116,subject
533,1117,subject
738,1117,subject
1646,1117,subject
2372,1118,subject
256,1119,subject
266,1119,subject
563,1119,subject
1723,1120,subject
841,1121,subject
1809,1121,subject
1693,1122,subject
1773,1122,subject
2324,1122,subject
755,1123,subject
781,1123,subject
805,1123,subject
1021,1123,subject
1026,1123,subject
1744,1123,subject
1958,1123,subject
2107,1123,subject
2349,1123,subject
362,1124,subject
456,1124,subject
1985,1124,subject
2253,1124,subject
2278,1124,subject
597,1125,subject
1658,1126,subject
1327,1127,subject
2083,1127,subject
856,1128,subject
1830,1128,subject
617,1129,subject
1577,1129,subject
334,1130,subject
387,1130,subject
1295,1130,subject
1630,1130,subject
911,1131,subject
1242,1131,subject
1486,1132,subject
1722,1132,subject
367,1133,subject
412,1133,subject
1086,1133,subject
1107,1133,subject
2228,1133,subject
2463,1133,subject
651,1134,subject
699,1134,subject
726,1134,subject
821,1134,subject
996,1134,subject
685,1135,subject
2148,1135,subject
643,1136,subject
1881,1136,subject
2009,1136,subject
513,1137,subject
737,1137,subject
1354,1137,subject
1745,1137,subject
1457,1138,subject
576,1139,subject
599,1139,subject
796,1139,subject
1649,1139,subject
1684,1139,subject
2441,1139,subject
768,1141,subject
1011,1141,subject
1932,1141,subject
2036,1141,subject
2109,1141,subject
2213,1141,subject
276,1142,subject
1034,1142,subject
1383,1142,subject
1600,1142,subject
886,1143,subject
1439,1143,subject
2335,1143,subject
936,1144,subject
2305,1145,subject
867,1146,subject
1276,1147,subject
1983,1147,subject
2059,1147,subject
847,1148,subject
1650,1148,subject
447,1149,subject
562,1150,subject
1311,1150,subject
1475,1150,subject
1723,1150,subject
1344,1151,subject
1839,1151,subject
545,1152,subject
921,1152,subject
1690,1152,subject
789,1153,subject
954,1153,subject
1179,1153,subject
2023,1153,subject
1862,1154,subject
2249,1154,subject
261,1155,subject
720,1155,subject
2282,1155,subject
1785,1157,subject
2267,1157,subject
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
12,32,aligned(map)
