x,y,class
167,144,subject
1174,144,subject
1443,144,subject
1834,144,subject
1941,145,subject
721,146,subject
965,146,subject
1299,146,subject
1473,146,subject
1992,146,subject
2357,146,subject
308,147,subject
1726,147,subject
2043,147,subject
1502,149,subject
1960,149,subject
379,150,subject
741,151,subject
896,151,subject
2292,151,subject
691,152,subject
1858,152,subject
2206,152,subject
540,153,subject
1150,153,subject
2242,153,subject
2425,153,subject
1235,154,subject
1762,154,subject
1926,154,subject
877,155,subject
2030,155,subject
336,157,subject
632,157,subject
1907,157,subject
1242,158,subject
1315,158,subject
2184,158,subject
1209,159,subject
652,160,subject
790,160,subject
1432,161,subject
1778,162,subject
768,163,subject
1109,163,subject
1190,163,subject
1358,163,subject
2225,163,subject
2312,163,subject
620,164,subject
1593,164,subject
2361,164,subject
960,165,subject
2014,165,subject
2155,166,subject
479,167,subject
1672,167,subject
502,168,subject
1556,168,subject
713,169,subject
862,169,subject
2469,169,subject
608,170,subject
671,170,subject
1128,170,subject
2196,170,subject
357,171,subject
1050,171,subject
1345,171,subject
1942,171,subject
1297,172,subject
2070,172,subject
1906,174,subject
2177,174,subject
686,175,subject
1223,176,subject
1846,176,subject
820,177,subject
1807,177,subject
1284,178,subject
1873,178,subject
2047,178,subject
2092,178,subject
2341,178,subject
1252,179,subject
2480,179,subject
986,180,subject
2367,180,subject
2457,180,subject
1503,181,subject
1578,181,subject
2140,181,subject
775,182,subject
1021,182,subject
2345,182,subject
138,183,subject
622,183,subject
1900,183,subject
2300,183,subject
459,184,subject
570,184,subject
668,184,subject
1094,184,subject
307,185,subject
535,185,subject
731,185,subject
1728,185,subject
759,187,subject
1623,187,subject
2119,187,subject
2311,187,subject
2420,187,subject
1556,188,subject
2215,188,subject
587,189,subject
1601,189,subject
1961,190,subject
2169,190,subject
103,191,subject
557,191,subject
2336,191,subject
714,192,subject
892,192,subject
1176,192,subject
1193,192,subject
882,193,subject
696,194,subject
1062,194,subject
1279,194,subject
2065,194,subject
438,195,subject
745,195,subject
800,196,subject
1217,196,subject
1992,196,subject
643,197,subject
950,197,subject
1892,197,subject
1547,198,subject
2244,198,subject
1621,199,subject
2014,199,subject
2302,200,subject
1598,201,subject
2088,201,subject
2205,201,subject
1049,202,subject
1134,202,subject
1114,203,subject
490,204,subject
874,204,subject
1078,204,subject
1158,204,subject
1522,204,subject
1579,204,subject
565,205,subject
1108,205,subject
404,206,subject
1235,206,subject
1944,206,subject
2036,206,subject
665,207,subject
1263,207,subject
1447,207,subject
470,209,subject
1357,209,subject
1919,210,subject
2168,210,subject
1010,211,subject
1329,211,subject
1717,211,subject
1751,211,subject
2146,211,subject
2355,211,subject
1645,212,subject
540,213,subject
2019,213,subject
864,214,subject
1432,214,subject
2050,214,subject
550,215,subject
1337,215,subject
228,216,subject
1597,216,subject
2198,216,subject
2111,217,subject
2237,217,subject
1099,218,subject
1308,218,subject
1863,218,subject
1179,219,subject
1895,219,subject
1616,220,subject
1729,220,subject
989,221,subject
2002,221,subject
1063,222,subject
1519,222,subject
2073,222,subject
2486,222,subject
444,223,subject
871,223,subject
1034,223,subject
1828,223,subject
2092,223,subject
58,224,subject
502,224,subject
1122,225,subject
352,226,subject
1080,226,subject
1256,226,subject
2160,226,subject
2285,226,subject
1667,227,subject
1915,227,subject
430,228,subject
571,228,subject
1686,228,subject
2340,228,subject
1438,229,subject
1845,229,subject
2325,229,subject
2173,230,subject
1964,231,subject
916,232,subject
1583,232,subject
1877,232,subject
2272,232,subject
2454,232,subject
1244,233,subject
486,234,subject
1186,234,subject
1561,235,subject
1608,235,subject
1744,235,subject
1812,235,subject
1927,235,subject
2243,236,subject
2262,236,subject
2297,236,subject
536,237,subject
1785,237,subject
1863,237,subject
1988,237,subject
2045,237,subject
2124,239,subject
2214,241,subject
1566,242,subject
1832,242,subject
1067,243,subject
1672,243,subject
2005,243,subject
2088,243,subject
1020,244,subject
1540,244,subject
417,245,subject
1102,245,subject
