cell1,cell2,cell1_x,cell1_y,cell2_x,cell2_y,distance,morphology,match_score
e43009f8e5f8adbf22b9b9444d570717,27d7622812383cd45d695a1395d5d6b0,1002.1302490234375,933.3258666992188,1003.5,934.5,1.8041082965823851,0.602821074300668,0.8703223572268031
366ab34985960fb2712b25339ee3ef5e,95aadf444f75248393bd85f0ca746a2d,1085.13330078125,904.7596435546875,1083,912,7.5480947051862115,0.7144893120569252,0.8703162411701579
ef1e47b08c2aa24fce618f3dd1c58769,3fb2f0404677a48c0620a7c3389e4553,1472.78076171875,556.9730224609375,1468,558,4.889822642714592,0.6627405478178338,0.870298198929515
0f8834631193f4265a8a8a49032d94f1,02d65d1148184c1672e6341c1cb530bc,741.3688354492188,337.90386962890625,731.5,334,10.61292189753855,0.7737607728146871,0.8702195207754312
4049572ed8dc2a844c3f34d772684c2f,6f54e2181e3172288ab70ceb1634f75a,1080.299072265625,757.4186401367188,1074.5,753,7.290652906274099,0.7088339110658218,0.8701213646998143
02bd78bd754839f36fbb2ee61116caa6,f0ae5e628501cd85e52657e53e224339,68.5504379272461,292.0823974609375,67.5,294,2.1864627453528716,0.6088568358809855,0.8699026847497371
c4b6cd70cf9b3edb57af636858ea54eb,68385f587c5b90cbbc2a94373ac73039,843.3162841796875,493.3075256347656,834,491,9.597803158629379,0.7527305221490833,0.8698319715527202
d1889d90abcf79b0f9fb3a94a4ade957,4e2b75396c4eee48159913236de09a9e,2144.086669921875,1022.1852416992188,2136,1017.5,9.34589322673098,0.7477657277135713,0.8698120078248073
0bfb9243279136f081618327152fc0a0,571fb86f467f000d416b21b3010feab3,333.9372863769531,948.4066162109375,331,952,4.641126836850248,0.6562772069855675,0.8698099222140437
dbb6f10b3d5bd4c756eaa4b3c2344d37,e3c600e36b48b95f899e95e43021f35d,864.5305786132812,135.6330108642578,867.5,137,3.2689635466214484,0.6292788068921802,0.8697146880456956
06e9a90f7d91cc950efe7bbf37000024,2fc27133ffe304196619a7dce61ff484,1676.527099609375,304.8808898925781,1670.5,304,6.091132629008712,0.6841219721591686,0.8697049846451997
6cde839900b28fbd293f6d5a40160fcf,cbeaa614b496737c4526304eca478613,329.0453796386719,741.4488525390625,324,743.5,5.446380596766543,0.6710418744533063,0.8695420088548538
cbef5cb41b282b67e0634ca10276c1c1,2a58b50e36dc5bca045184f16c0be679,395.6624450683594,285.3522644042969,385.5,283.5,10.329868014202653,0.7657067022331172,0.869454447253753
b5f00838e76f20083ec82a9bc1cc2af5,843bd6d7ace83d914b0d3c4946de2189,2485.751953125,712.7305908203125,2480,719,8.50825811870721,0.73020586962288,0.8694302551944053
598ddca88ec76cb51872601bb600f2b6,83ca6f596ce093b35ba2a9508978f170,1554.3046875,680.5025634765625,1550,677,5.549620291515973,0.6722554025661315,0.8693038357359961
2a89b290773521fe1c872fbbeb300587,8c8bd3e760de4bb8ee6904b4f1e470b4,289.1255187988281,1118.84228515625,288.5,1123.5,4.69952990557316,0.6555968256375568,0.8692651232420903
9dfd6ed871ee6783d099cd42871b3501,7ca4f917c70fd74419bca64f5687a802,768.4247436523438,500.6429443359375,760.5,497.5,8.525236715432843,0.729984359126444,0.8692647602312416
dafbc51137b449f3662e33086bcf4718,175ba29da45cec5295e5cd0f2b7278c6,1364.2569580078125,1017.9312133789062,1357.5,1017.5,6.77070354523732,0.6953905487230683,0.8691213939363694
228204efed28cfe0dbf881897acc0ebb,096bc97f17b44b5fe40afa25e724900e,1615.7181396484375,1117.4393310546875,1612.5,1113.5,5.086723105818791,0.6625081729323985,0.8690799004291099
4dfa4a8a2eaffde45d027993a35dc64d,9030be4303b71320c3125c67e3c515dd,2300.603515625,1070.80615234375,2295.5,1061.5,10.61368659701721,0.7696399832772713,0.8689788231672476
baf41a470f393393620b7700b8fe801a,7d585802b64e80791b47cc39b51c9dfe,2164.348388671875,455.8857116699219,2170,464,9.888497646651532,0.7551334157174749,0.8688571217764418
568ef66768e4b7fcf6a306952820aa94,4e0e1d7269a72c0f016ff5bf3b27e060,1636.924072265625,1074.25732421875,1633.5,1070,5.463431191456301,0.6689022604715714,0.8688006628579763
12c1503d781a11c481ea3e96252eb649,2fb91ff1e72eb953b76fb150f44a2800,1791.186767578125,1163.7193603515625,1789,1158.5,5.658946449667226,0.6726766031442469,0.8687924599868819
517b958ba8ac5d90e748f33a485d25af,d718e97bac3fc0cfe2ced9d73f902928,1776.386962890625,306.8583679199219,1782.5,299.5,9.5663368718403,0.7485853483334592,0.868771972747636
ef8563124a5faa436f4199c49490a405,6f6c4659f9a625b2f32c8ce9a6393f58,2354.693359375,533.2951049804688,2354.5,531,2.3032357064080204,0.607049373352919,0.8686792703851621
a7fbfb51274063879f54a45e5822f809,d0987f0a5b891e6a3deee2d8dd4f222b,1417.6212158203125,743.2747192382812,1410.5,737,9.491249458249733,0.7467458643524701,0.8686581374659509
7ded4fed380224511b0f1314a90baa6b,9c7acf00619bc0d0445df75e6afac08e,26.973342895507812,1003.9154052734375,26,1010.5,6.656146340436801,0.6915347271334036,0.8686328978208063
