,tile_id,x,y,physical_x,physical_y,area,ratio,size,r1,r2,theta,weight,density,mean_distance,moran-I,p-value
3b3236e5d8fad24b46c94f5c435d0322,NULL,96,1.5,96,1.5,24.783674928378854,0.4282841980457306,12,4.291823863983154,1.8381203413009644,0.3708913028240204,0.22450980392156863,0.03125,0,-1.0000000000000002,1
8f90dfd7f10c913fbd42943d44a3c3af,NULL,118,1,118,1,23.68736966609582,0.20733729004859924,18,6.030381202697754,1.250322937965393,3.041171073913574,0.23398692810457522,0.03125,0,-1.0000000000000002,1
b9d75db3f9b8c457f7e726afc01097c8,NULL,168.5,6.5,168.5,6.5,200.8700649142972,0.4229592978954315,60,12.295137405395508,5.200342655181885,2.678471803665161,0.22581699346405226,0.03125,0,-1.0000000000000002,1
8d31966c72ae9b35fcaefc23ea3b55e4,NULL,292,7.5,292,7.5,373.6151832604075,0.42116618156433105,101,16.803918838500977,7.077242374420166,0.5860370993614197,0.23098427489807757,0.0625,3.2015621187164243,-1,1
35593814075f77349e31895dae712f22,NULL,384,5,384,5,172.5314612537991,0.5358468890190125,97,10.123690605163574,5.424747943878174,2.9851136207580566,0.1993935718617341,0.03125,0,-1.0000000000000002,1
1286e0c2caa5222891c3038b6feae389,NULL,402.5,0.5,402.5,0.5,6.162354781907849,0.21508516371250153,7,3.019904375076294,0.6495366096496582,3.0267159938812256,0.2324929971988796,0.03125,0,-1.0000000000000002,1
cc734ca6579094119e7cd872736edc2d,NULL,707,2,707,2,60.26375288116124,0.29970794916152954,36,8.000258445739746,2.3977410793304443,3.1335561275482178,0.20457516339869286,0.03125,0,-1.0000000000000002,1
b56a985c95ada5b5b80a8712b324bfe1,NULL,876.5,4.5,876.5,4.5,207.7828147215181,0.38312166929244995,102,13.138976097106934,5.0338263511657715,2.9960169792175293,0.20369088811995353,0.03125,0,-1.0000000000000002,1
1d3f7e5a93cbda976743f2ebbd9dc4df,NULL,964,1.5,964,1.5,37.69911184307752,0.3333333432674408,20,6,2,0,0.21058823529411766,0.03125,0,-1.0000000000000002,1
9e49f65c3ace4c3de39193e9dab19f0c,NULL,983,6,983,6,243.02194422130114,0.3615085780620575,130,14.628119468688965,5.288190841674805,2.8474836349487305,0.13698340874811438,0.03125,0,-1.0000000000000002,1
f1d217b35a035f00409ad88858aaa4f1,NULL,1038.5,4,1038.5,4,220.80538478664837,0.31097841262817383,101,15.033661842346191,4.675144195556641,0.0669320821762085,0.19165210638710897,0.0625,6.73145600891813,-1,1
edc44bd23e1940122b4bd4fd68c9ba2f,NULL,1358,2,1358,2,80.99170161180162,0.2575022876262665,38,10.005867958068848,2.5765340328216553,3.107344388961792,0.1704850361197111,0.03125,0,-1.0000000000000002,1
50d583f3b950dde0f50ab6705a0eb370,NULL,1390.5,2.5,1390.5,2.5,161.4650995560079,0.17723296582698822,77,17.029117584228516,3.0181210041046143,0.05848640203475952,0.18161446396740497,0.03125,0,-1.0000000000000002,1
df25a21893f0085097e36932db49ad43,NULL,1470.5,6,1470.5,6,321.60360978477127,0.3324630856513977,154,17.547441482543945,5.833876609802246,0.2504449784755707,0.19432136490959978,0.03125,0,-1.0000000000000002,1
9d255cecd2bac7b695e7b8d22e19e1d4,NULL,1503,3.5,1503,3.5,98.71749181096521,0.4909566342830658,45,8.000194549560547,3.927748680114746,3.1346206665039062,0.21193899782135073,0.03125,0,-1.0000000000000002,1
011a4725951553e3e0d1fe0015c78527,NULL,1541,5.5,1541,5.5,294.1865094231687,0.3529428541660309,116,16.288618087768555,5.748951435089111,2.953063488006592,0.22403651115618614,0.03125,0,-1.0000000000000002,1
9ccdbdd265ce6e7320fc1e78e818c1e5,NULL,1607,3,1607,3,94.7915954573639,0.3141205608844757,26,9.800806045532227,3.078634738922119,2.5257022380828857,0.238763197586727,0.03125,0,-1.0000000000000002,1
d88a599fcb324b8e4e7597a62b7762de,NULL,1657.5,7,1657.5,7,262.98011401522325,0.6869633197784424,127,11.038745880126953,7.583213806152344,0.08381006866693497,0.20623745561216567,0.03125,0,-1.0000000000000002,1
34aa323cd4d4a15ab9d4add3e1690911,NULL,1685,5,1685,5,268.61231120403187,0.3339877128601074,155,16.000102996826172,5.343837738037109,0.0035827544052153826,0.200253004427577,0.03125,0,-1.0000000000000002,1
8661154841d834390d11b70ab839dba0,NULL,1777,1.5,1777,1.5,36.69131448667885,0.3244173526763916,19,6.000047206878662,1.946519374847412,0.0039603752084076405,0.19133126934984523,0.0625,3.132491021535417,-1,1
3d27368b4fda406c754534159b8f7193,NULL,1857,7.5,1857,7.5,404.0705584130019,0.45715251564979553,182,16.77347755432129,7.668037414550781,2.8367257118225098,0.1826546003016587,0.03125,0,-1.0000000000000002,1
9055be1d7140f9716a4eeba94fe59a78,NULL,1883.5,4.5,1883.5,4.5,171.03643658377214,0.4396767318248749,105,11.127629280090332,4.89255952835083,2.989990472793579,0.15148459383753482,0.03125,0,-1.0000000000000002,1
a1145c9ecf3dd3c6ebcc3c8a82b1d7a9,NULL,1986.5,3.5,1986.5,3.5,447.5673807944119,0.10359995067119598,210,37.082969665527344,3.8417937755584717,0.06690621376037598,0.1677871148459381,0.03125,0,-1.0000000000000002,1
366ce719ad79c99e40b9c69bc8cddebd,NULL,2105.5,1,2105.5,1,20.29680736696452,0.2555156946182251,12,5.0284037590026855,1.2848360538482666,3.0352537631988525,0.2339869281045752,0.03125,0,-1.0000000000000002,1
71c9f44be5279a337dc58ad2c7e56f25,NULL,2125.5,1.5,2125.5,1.5,144.58975799780742,0.08689435571432114,58,23.014314651489258,1.9998140335083008,0.03527118265628815,0.20567951318458405,0.03125,0,-1.0000000000000002,1
f033930b1f2272d69210546b7af79e67,NULL,2204,0.5,2204,0.5,9.666438996022753,0.19117645919322968,6,4.01181697845459,0.7669649720191956,0.07677189260721207,0.2477124183006536,0.0625,3.2596012026013246,-1,1
292cef4518197e71d1fc74e3cbaa56eb,NULL,2368,5,2368,5,251.80888761097472,0.40893182158470154,102,14.000228881835938,5.725139141082764,0.005720991641283035,0.2069204152249131,0.03125,0,-1.0000000000000002,1
1d7715a5a627b6b292bdd4d63f7f80f3,NULL,2387.5,7,2387.5,7,301.66851092028026,0.5240357518196106,97,13.536600112915039,7.093662261962891,0.6221767663955688,0.22227612694562324,0.03125,0,-1.0000000000000002,1
661f9860c46f622bec5c283738410a54,NULL,2414.5,4,2414.5,4,177.68573864447978,0.46742942929267883,44,11.000016212463379,5.141731262207031,0.0017391287256032228,0.22762923351158637,0.03125,0,-1.0000000000000002,1
1285b78761cb491eba7b47841c0baf96,NULL,726.5,5,726.5,5,43.19415731446943,0.9927622079849243,18,3.7214736938476562,3.6945383548736572,2.508382797241211,0.24662309368191723,0.03125,0,-1.0000000000000002,1
78df7bdfc98b623ad7082defeeb24c8a,NULL,2058,3.5,2058,3.5,36.01973220385288,0.671095073223114,17,4.133360385894775,2.7738778591156006,2.8868792057037354,0.23829296424452137,0.0625,2.6100766272276377,-1.0000000000000002,1
f3ba5505bee53bcd85df39b49a5dea3f,NULL,74.5,6,74.5,6,53.49899571197383,0.716443657875061,23,4.875361919403076,3.492922067642212,0.9079804420471191,0.2293265132139813,0.0625,3.952847075210474,-1,1
